"From: (Address)","From: (Name)","To: (Address)","To: (Name)","CC: (Address)","CC: (Name)","BCC: (Address)","BCC: (Name)"
"hi@externalcompany.com","External Company","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Kristensen, T1234o2142-12aw-1231-a123-623jdwqkj1","Kristensen, Thomas"
"/O=MMS/OU=EXCHANGE ADMINISTRATIVE GROUP (EXCHANGEGROUPID)/CN=RECIPIENTS/CN=USERF10983231","Chang, Maria","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Mail.Group123987-12as-123s-771s.123ojashkx7123","Mail.Group"
"claus.laursen@clientx.com","claus.laursen@clientx.com","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1","Kristensen, Thomas","sofie.madsen@clientx.com","sofie.madsen@clientx.com"
"claus.laursen@clientx.com","claus.laursen@clientx.com","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1","Kristensen, Thomas","sofie.madsen@clientx.com;mahaprabhu.zudan@clientx.com","sofie.madsen@clientx.com;mahaprabhu.zudan@clientx.com"
"/O=MMS/OU=EXCHANGE ADMINISTRATIVE GROUP (EXCHANGEGROUPID)/CN=RECIPIENTS/CN=Henriksen, SOREN12312BA44-431C-12AS-2476D91B256","Henriksen, Søren","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Ericsson, Ka13b5a9af-c67c-4ab0-bc64-1cfcbcf0db9cde3;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Jaegmo849feef7-b411-1652-123A-2576344;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Gregorson, Tad9ef9ee5-afc6-1d4b-ab64-c8fb82312jkdas;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=USERF10983231;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Wilker, M12easllkas-1431-4a71-88f4-asxhk12761236;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=USERF10918889;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=USERF10912339","Ericsson, Katie;Jaegmo, Camilla;Gregorson, T.;Chang, Maria;Wilker, Mattias;Damgaard, Simon;Kristensen, Thomas;T. Pedersen, Anders"
"mahaprabhu.zudan@clientx.com","mahaprabhu.zudan@clientx.com","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1","Kristensen, Thomas","claus.laursen@clientx.com;sofie.madsen@clientx.com","claus.laursen@clientx.com;sofie.madsen@clientx.com"
"mahaprabhu.zudan@clientx.com","mahaprabhu.zudan@clientx.com","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1","Kristensen, Thomas"
"/O=MMS/OU=EXCHANGE ADMINISTRATIVE GROUP (EXCHANGEGROUPID)/CN=RECIPIENTS/CN=Ericsson, Ka13b5a9af-c67c-4ab0-bc64-1cfcbcf0db9cde3","Ericsson, Katie","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Jaegmo849feef7-b411-1652-123A-2576344;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Gregorson, Tad9ef9ee5-afc6-1d4b-ab64-c8fb82312jkdas;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=USERF10983231;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Henriksen, SOREN12312BA44-431C-12AS-2476D91B256;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Wilker, M12easllkas-1431-4a71-88f4-asxhk12761236;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=USERF10918889;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1;/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=USERF10912339","Jaegmo, Camilla;Gregorson, T.;Chang, Maria;Henriksen, Søren;Wilker, Mattias;Damgaard, Simon;Kristensen, Thomas;T. Pedersen, Anders"
"mailer@company.com","Training","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1","Kristensen, Thomas"
"/O=MMS/OU=EXCHANGE ADMINISTRATIVE GROUP (EXCHANGEGROUPID)/CN=RECIPIENTS/CN=MOGENSEN, CHRISTIAN9093F0C3B74B7D9-99DB-A123-4926--3B74B7D9","Mogensen, Christian","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=KRISTENSEN, T1234O2142-12AW-1231-A123-623JDWQKJ1","Kristensen, Thomas","/o=MMS/ou=Exchange Administrative Group (EXCHANGEGROUPID)/cn=Recipients/cn=Wang, LI129873ASD-1231-H672-898S-SAF897172BD","Wang Z., Li"
